timestamp,average,minimum,maximum
2023-09-17T18:14:00.000Z,92.225,91.48,92.97
2023-09-17T18:19:00.000Z,92.609,91.36,94.78
2023-09-17T18:24:00.000Z,92.379,90.93,94.8
2023-09-17T18:29:00.000Z,92.75,91.26,95.94
2023-09-17T18:34:00.000Z,92.605,91.01,94.75
2023-09-17T18:39:00.000Z,92.368,90.98,94.09
2023-09-17T16:44:00.000Z,92.442,91.54,95.19
2023-09-17T16:49:00.000Z,92.462,90.83,95.23
2023-09-17T16:54:00.000Z,92.425,91.5,94.87
2023-09-17T16:59:00.000Z,92.722,91.68,94.7
2023-09-17T17:04:00.000Z,92.689,91.86,95.23
2023-09-17T17:09:00.000Z,92.679,91.51,96.27
2023-09-17T17:14:00.000Z,92.547,91.56,95.23
2023-09-17T17:19:00.000Z,92.21,91.55,93.02
2023-09-17T17:24:00.000Z,92.308,91.17,94.79
2023-09-17T17:29:00.000Z,92.633,90.83,94.92
2023-09-17T17:34:00.000Z,92.398,91.47,95.77
2023-09-17T17:39:00.000Z,92.622,91.36,95
2023-09-17T15:44:00.000Z,92.272,91.3,94.15
2023-09-17T15:49:00.000Z,92.532,91.61,94.7
2023-09-17T15:54:00.000Z,92.653,91.15,95.49
2023-09-17T15:59:00.000Z,92.445,91.72,94.79
2023-09-17T16:04:00.000Z,92.35,91.31,95.42
2023-09-17T16:09:00.000Z,92.648,91.51,95.33
2023-09-17T16:14:00.000Z,92.484,91.6,95.46
2023-09-17T16:19:00.000Z,92.49,91.37,95.07
2023-09-17T16:24:00.000Z,92.398,91.56,93.41
2023-09-17T16:29:00.000Z,92.529,91.48,95.25
2023-09-17T16:34:00.000Z,92.743,91.91,94.77
2023-09-17T16:39:00.000Z,92.638,91.38,95.69
2023-09-17T14:43:00.000Z,92.767,91.35,94.72
2023-09-17T14:48:00.000Z,92.475,91.05,94.48
2023-09-17T14:53:00.000Z,92.403,91.14,94.58
2023-09-17T14:58:00.000Z,92.425,91.15,95.53
2023-09-17T15:03:00.000Z,92.41,91.46,95.24
2023-09-17T15:08:00.000Z,92.276,91.36,94.64
2023-09-17T15:13:00.000Z,92.278,91.62,93.81
2023-09-17T15:18:00.000Z,92.114,91.03,93.76
2023-09-17T15:23:00.000Z,92.657,90.94,94.99
2023-09-17T15:28:00.000Z,92.499,91.43,94.72
2023-09-17T15:33:00.000Z,92.378,91.29,95.09
2023-09-17T15:38:00.000Z,91.968,91.41,92.19
2023-09-17T13:43:00.000Z,92.38,90.74,94.81
2023-09-17T13:48:00.000Z,92.415,91.13,94.02
2023-09-17T13:53:00.000Z,92.504,91.51,94.93
2023-09-17T13:58:00.000Z,92.652,91.57,94.37
2023-09-17T14:03:00.000Z,92.357,91.41,94.65
2023-09-17T14:08:00.000Z,92.558,91.74,95.25
2023-09-17T14:13:00.000Z,92.611,91.33,95.33
2023-09-17T14:18:00.000Z,92.23,90.92,93.65
2023-09-17T14:23:00.000Z,92.456,91.67,95.08
2023-09-17T14:28:00.000Z,92.499,91.38,94.74
2023-09-17T14:33:00.000Z,92.582,91.37,94.61
2023-09-17T14:38:00.000Z,92.498,91.55,94.95
2023-09-17T12:43:00.000Z,92.191,91.08,93.62
2023-09-17T12:48:00.000Z,92.46,91.3,93.39
2023-09-17T12:53:00.000Z,92.385,91.12,94.55
2023-09-17T12:58:00.000Z,92.25,91.49,94.12
2023-09-17T13:03:00.000Z,92.44,91.52,94.57
2023-09-17T13:08:00.000Z,92.274,90.81,95.43
2023-09-17T13:13:00.000Z,92.28,90.95,93.86
2023-09-17T13:18:00.000Z,92.062,90.3,93.54
2023-09-17T13:23:00.000Z,92.195,91.48,93.76
2023-09-17T13:28:00.000Z,92.392,91.34,93.98
2023-09-17T13:33:00.000Z,92.319,90.45,93.76
2023-09-17T13:38:00.000Z,92.377,91.48,94.45
2023-09-17T11:43:00.000Z,92.427,91.45,95.8
2023-09-17T11:48:00.000Z,92.413,91.43,95.42
2023-09-17T11:53:00.000Z,92.315,91.31,95.16
2023-09-17T11:58:00.000Z,92.37,90.99,95.81
2023-09-17T12:03:00.000Z,92.41,90.86,95.29
2023-09-17T12:08:00.000Z,92.699,91.19,94.49
2023-09-17T12:13:00.000Z,92.524,91.46,93.99
2023-09-17T12:18:00.000Z,92.385,91.51,94.83
2023-09-17T12:23:00.000Z,92.439,90.93,93.28
2023-09-17T12:28:00.000Z,92.422,90.99,95.45
2023-09-17T12:33:00.000Z,92.78,91.47,95.67
2023-09-17T12:38:00.000Z,92.342,91.09,95.21
2023-09-17T10:42:00.000Z,92.441,91.19,95.31
2023-09-17T10:47:00.000Z,92.642,91.2,95.5
2023-09-17T10:52:00.000Z,92.453,91.34,95.46
2023-09-17T10:57:00.000Z,92.434,91.07,95.37
2023-09-17T11:02:00.000Z,92.462,90.58,95.02
2023-09-17T11:07:00.000Z,92.533,91.22,93.57
2023-09-17T11:12:00.000Z,92.282,90.83,94.91
2023-09-17T11:17:00.000Z,92.472,90.95,94.63
2023-09-17T11:22:00.000Z,92.475,91.38,95.29
2023-09-17T11:28:00.000Z,92.428,91.38,95.91
2023-09-17T11:33:00.000Z,92.313,91.34,94.25
2023-09-17T11:38:00.000Z,92.442,91.34,95.6
2023-09-17T09:42:00.000Z,92.377,90.68,94.47
2023-09-17T09:47:00.000Z,92.284,90.96,93.69
2023-09-17T09:52:00.000Z,92.537,91.1,94.63
2023-09-17T09:57:00.000Z,92.372,91.18,96.11
2023-09-17T10:02:00.000Z,92.355,91.1,95.65
2023-09-17T10:07:00.000Z,92.346,90.96,93.31
2023-09-17T10:12:00.000Z,92.38,91.24,95.77
2023-09-17T10:17:00.000Z,92.296,91.15,94.49
2023-09-17T10:22:00.000Z,92.299,91.23,95.22
2023-09-17T10:27:00.000Z,92.27,91.19,94.3
2023-09-17T10:32:00.000Z,92.421,90.68,94.28
2023-09-17T10:37:00.000Z,92.27,91.16,95.3
2023-09-17T08:42:00.000Z,92.487,90.99,95.46
2023-09-17T08:47:00.000Z,92.461,91.57,95.14
2023-09-17T08:52:00.000Z,92.607,91.49,95.19
2023-09-17T08:57:00.000Z,92.577,91.75,93.8
2023-09-17T09:02:00.000Z,92.141,90.89,93.15
2023-09-17T09:07:00.000Z,92.254,91.04,94.3
2023-09-17T09:12:00.000Z,92.415,90.85,95.07
2023-09-17T09:17:00.000Z,92.389,90.31,95.02
2023-09-17T09:22:00.000Z,92.316,90.88,95.71
2023-09-17T09:27:00.000Z,92.7,91.36,95.64
2023-09-17T09:32:00.000Z,92.431,91.04,94.98
2023-09-17T09:37:00.000Z,92.418,90.85,94.36
2023-09-17T07:42:00.000Z,92.348,90.78,95.11
2023-09-17T07:47:00.000Z,92.364,91.05,95.15
2023-09-17T07:52:00.000Z,92.14,91.07,95.01
2023-09-17T07:57:00.000Z,92.312,91.31,94.35
2023-09-17T08:02:00.000Z,92.347,91.09,94.17
2023-09-17T08:07:00.000Z,92.048,90.86,92.75
2023-09-17T08:12:00.000Z,92.287,90.9,95.73
2023-09-17T08:17:00.000Z,92.38,91.5,94.95
2023-09-17T08:22:00.000Z,92.46,91.08,96.07
2023-09-17T08:27:00.000Z,92.296,90.96,95.37
2023-09-17T08:32:00.000Z,92.451,91.12,94.66
2023-09-17T08:37:00.000Z,92.413,91.34,95.38
2023-09-17T06:42:00.000Z,92.41,91.14,95.77
2023-09-17T06:47:00.000Z,92.544,91.42,95.05
2023-09-17T06:52:00.000Z,92.434,90.72,95.81
2023-09-17T06:57:00.000Z,92.544,91.06,94.23
2023-09-17T07:02:00.000Z,92.227,91.16,93.36
2023-09-17T07:07:00.000Z,92.451,91.51,93.29
2023-09-17T07:12:00.000Z,92.218,90.85,94.05
2023-09-17T07:17:00.000Z,92.432,90.88,94.2
2023-09-17T07:22:00.000Z,92.517,91.57,93.88
2023-09-17T07:27:00.000Z,92.449,91.2,94.38
2023-09-17T07:32:00.000Z,92.518,91.14,93.53
2023-09-17T07:37:00.000Z,92.304,91.3,93.59
2023-09-17T05:41:00.000Z,92.294,91.25,95.41
2023-09-17T05:46:00.000Z,92.183,91.27,93.71
2023-09-17T05:51:00.000Z,92.34,91.21,96.05
2023-09-17T05:56:00.000Z,92.399,90.42,94.83
2023-09-17T06:01:00.000Z,92.284,90.85,94.51
2023-09-17T06:06:00.000Z,92.667,91.32,94.5
2023-09-17T06:11:00.000Z,92.358,91.17,93.53
2023-09-17T06:16:00.000Z,92.401,91.19,95.98
2023-09-17T06:21:00.000Z,92.061,91.49,92.56
2023-09-17T06:27:00.000Z,92.474,91.49,95.27
2023-09-17T06:32:00.000Z,92.389,91.19,94.38
2023-09-17T06:37:00.000Z,92.306,91.29,94.84
2023-09-17T04:41:00.000Z,92.46,91.58,95.43
2023-09-17T04:46:00.000Z,92.157,91.38,93.18
2023-09-17T04:51:00.000Z,92.512,91.04,96.02
2023-09-17T04:56:00.000Z,92.309,91.24,94.32
2023-09-17T05:01:00.000Z,92.597,91.16,95.67
2023-09-17T05:06:00.000Z,92.48,91.18,93.57
2023-09-17T05:11:00.000Z,92.337,90.87,94.37
2023-09-17T05:16:00.000Z,92.34,91.39,94.72
2023-09-17T05:21:00.000Z,92.451,90.97,94.59
2023-09-17T05:26:00.000Z,92.308,91.08,93.74
2023-09-17T05:31:00.000Z,92.57,91.8,94.79
2023-09-17T05:36:00.000Z,92.858,91.77,95.92
2023-09-17T03:41:00.000Z,92.308,91.22,94.23
2023-09-17T03:46:00.000Z,92.348,91.46,93.34
2023-09-17T03:51:00.000Z,92.267,91.23,94.44
2023-09-17T03:56:00.000Z,92.272,91.64,93.55
2023-09-17T04:01:00.000Z,92.393,91.18,94.92
2023-09-17T04:06:00.000Z,92.29,91.54,94.07
2023-09-17T04:11:00.000Z,92.544,91.12,93.6
2023-09-17T04:16:00.000Z,92.335,91.17,94.43
2023-09-17T04:21:00.000Z,92.197,91.06,94.95
2023-09-17T04:26:00.000Z,92.258,90.9,95.84
2023-09-17T04:31:00.000Z,92.352,91.43,95.37
2023-09-17T04:36:00.000Z,92.511,90.79,95.52
2023-09-17T02:41:00.000Z,92.323,90.84,94.26
2023-09-17T02:46:00.000Z,92.316,90.48,93.76
2023-09-17T02:51:00.000Z,91.913,90.99,92.96
2023-09-17T02:56:00.000Z,92.317,90.89,94.58
2023-09-17T03:01:00.000Z,92.189,90.92,94.02
2023-09-17T03:06:00.000Z,92.556,91.42,94.43
2023-09-17T03:11:00.000Z,92.329,90.84,94.82
2023-09-17T03:16:00.000Z,92.255,90.93,94.21
2023-09-17T03:21:00.000Z,92.591,91.75,95.01
2023-09-17T03:26:00.000Z,92.52,90.97,95.89
2023-09-17T03:31:00.000Z,92.444,91.15,95.09
2023-09-17T03:36:00.000Z,92.465,91.48,94.56
2023-09-17T01:40:00.000Z,92.066,90.75,93.97
2023-09-17T01:45:00.000Z,92.196,91.33,93.35
2023-09-17T01:50:00.000Z,92.329,91.09,95.16
2023-09-17T01:55:00.000Z,92.677,91.6,95.25
2023-09-17T02:00:00.000Z,92.352,91.07,95.69
2023-09-17T02:05:00.000Z,92.896,91.77,95.31
2023-09-17T02:11:00.000Z,92.185,90.73,94.64
2023-09-17T02:16:00.000Z,92.46,90.82,94.8
2023-09-17T02:21:00.000Z,92.22,91.11,94.22
2023-09-17T02:26:00.000Z,92.107,90.96,93.69
2023-09-17T02:31:00.000Z,92.358,91.32,94.82
2023-09-17T02:36:00.000Z,92.258,91.47,94.7
2023-09-17T00:40:00.000Z,92.131,90.91,94.36
2023-09-17T00:45:00.000Z,92.144,89.64,94.77
2023-09-17T00:50:00.000Z,91.869,90.75,92.58
2023-09-17T00:55:00.000Z,92.016,90.75,94.84
2023-09-17T01:00:00.000Z,92.209,90.71,94.6
2023-09-17T01:05:00.000Z,91.956,91.14,93.05
2023-09-17T01:10:00.000Z,92.285,90.73,94.95
2023-09-17T01:15:00.000Z,92.136,90.66,94.21
2023-09-17T01:20:00.000Z,91.893,90.6,94.84
2023-09-17T01:25:00.000Z,91.93,90.87,93.27
2023-09-17T01:30:00.000Z,92.107,90.99,93.77
2023-09-17T01:35:00.000Z,92.349,91.15,93.9
